Package                           Version            Latest               Type
openpyxl                          3.1.2              3.1.5                wheel
opt-einsum                        3.3.0              3.4.0                wheel
optree                            0.12.1             0.13.1               wheel
overrides                         7.4.0              7.7.0                wheel
packaging                         23.2               24.2                 wheel
pandas                            2.2.2              2.2.3                wheel
pandocfilters                     1.5.0              1.5.1                wheel
panel                             1.4.4              1.5.4                wheel
param                             2.1.0              2.1.1                wheel
parsel                            1.8.1              1.9.1                wheel
parso                             0.8.3              0.8.4                wheel
partd                             1.4.1              1.4.2                wheel
pathspec                          0.10.3             0.12.1               wheel
patsy                             0.5.6              1.0.1                wheel
pexpect                           4.8.0              4.9.0                wheel
pillow                            10.3.0             11.0.0               wheel
pkginfo                           1.10.0             1.11.2               wheel
platformdirs                      3.10.0             4.3.6                wheel
plotly                            5.22.0             5.24.1               wheel
pluggy                            1.0.0              1.5.0                wheel
prometheus-client                 0.14.1             0.21.0               wheel
prompt-toolkit                    3.0.43             3.0.48               wheel
Protego                           0.1.16             0.3.1                wheel
protobuf                          3.20.3             5.28.3               wheel
psutil                            5.9.0              6.1.0                wheel
pure-eval                         0.2.2              0.2.3                wheel
pyarrow                           14.0.2             18.0.0               wheel
pyasn1                            0.4.8              0.6.1                wheel
pyasn1-modules                    0.2.8              0.4.1                wheel
pycodestyle                       2.11.1             2.12.1               wheel
pycparser                         2.21               2.22                 wheel
pycurl                            7.45.2             7.45.3               wheel
pydantic                          2.5.3              2.9.2                wheel
pydantic_core                     2.14.6             2.27.0               wheel
pydeck                            0.8.0              0.9.1                wheel
PyDispatcher                      2.0.5              2.0.7                wheel
pyerfa                            2.0.1.4            2.0.1.5              wheel
Pygments                          2.15.1             2.18.0               wheel
PyJWT                             2.8.0              2.10.0               wheel
pylint                            2.16.2             3.3.1                wheel
pylint-venv                       3.0.3              3.0.4                wheel
pyobjc-core                       10.1               10.3.1               wheel
pyobjc-framework-Cocoa            10.1               10.3.1               wheel
pyobjc-framework-CoreServices     10.1               10.3.1               wheel
pyobjc-framework-FSEvents         10.1               10.3.1               wheel
pyodbc                            5.0.1              5.2.0                wheel
pyOpenSSL                         24.0.0             24.2.1               wheel
pyparsing                         3.0.9              3.2.0                wheel
PyQt5                             5.15.10            5.15.11              wheel
PyQt5-sip                         12.13.0            12.15.0              wheel
PyQtWebEngine                     5.15.6             5.15.7               wheel
pytest                            7.4.4              8.3.3                wheel
python-dotenv                     0.21.0             1.0.1                wheel
python-lsp-server                 1.10.0             1.12.0               wheel
python-multipart                  0.0.9              0.0.17               wheel
python-slugify                    5.0.2              8.0.4                wheel
python-snappy                     0.6.1              0.7.3                wheel
pytoolconfig                      1.2.6              1.3.1                wheel
pytz                              2024.1             2024.2               wheel
pyviz_comms                       3.0.2              3.0.3                wheel
pywavelets                        1.5.0              1.7.0                wheel
PyYAML                            6.0.1              6.0.2                wheel
pyzmq                             25.1.2             26.2.0               wheel
qstylizer                         0.2.2              0.2.3                wheel
QtAwesome                         1.2.2              1.3.1                wheel
qtconsole                         5.5.1              5.6.1                wheel
QtPy                              2.4.1              2.4.2                wheel
queuelib                          1.6.2              1.7.0                wheel
referencing                       0.30.2             0.35.1               wheel
regex                             2023.10.3          2024.11.6            wheel
requests                          2.32.2             2.32.3               wheel
requests-file                     1.5.1              2.1.0                wheel
rich                              13.3.5             13.9.4               wheel
rope                              1.12.0             1.13.0               wheel
rpds-py                           0.10.6             0.21.0               wheel
Rtree                             1.0.1              1.3.0                wheel
ruamel.yaml                       0.17.21            0.18.6               wheel
s3fs                              2023.6.0           2024.10.0            wheel
scikit-image                      0.23.2             0.24.0               wheel
scikit-learn                      1.4.2              1.5.2                wheel
Scrapy                            2.11.1             2.11.2               wheel
Send2Trash                        1.8.2              1.8.3                wheel
service-identity                  18.1.0             24.2.0               wheel
setuptools                        69.5.1             75.5.0               wheel
sip                               6.7.12             6.8.6                wheel
smart-open                        5.2.1              7.0.5                wheel
smmap                             4.0.0              5.0.1                wheel
sniffio                           1.3.0              1.3.1                wheel
soupsieve                         2.5                2.6                  wheel
Sphinx                            7.3.7              8.1.3                wheel
sphinxcontrib-applehelp           1.0.2              2.0.0                wheel
sphinxcontrib-devhelp             1.0.2              2.0.0                wheel
sphinxcontrib-htmlhelp            2.0.0              2.1.0                wheel
sphinxcontrib-qthelp              1.0.3              2.0.0                wheel
sphinxcontrib-serializinghtml     1.1.10             2.0.0                wheel
spyder                            5.5.1              6.0.2                wheel
spyder-kernels                    2.5.0              3.0.1                wheel
SQLAlchemy                        2.0.30             2.0.36               wheel
stack-data                        0.2.0              0.6.3                wheel
starlette                         0.38.5             0.41.2               wheel
statsmodels                       0.14.2             0.14.4               wheel
streamlit                         1.32.0             1.40.1               wheel
sympy                             1.12               1.13.3               wheel
tables                            3.9.2              3.10.1               wheel
tblib                             1.7.0              3.0.0                wheel
tenacity                          8.2.2              9.0.0                wheel
tensorboard                       2.17.1             2.18.0               wheel
tensorflow                        2.17.0             2.18.0               wheel
tensorflow-serving-api            2.17.0             2.18.0               wheel
termcolor                         2.4.0              2.5.0                wheel
terminado                         0.17.1             0.18.1               wheel
textdistance                      4.2.1              4.6.3                wheel
threadpoolctl                     2.2.0              3.5.0                wheel
tifffile                          2023.2.28          2024.9.20            wheel
tinycss2                          1.2.1              1.4.0                wheel
tldextract                        3.2.0              5.1.3                wheel
tomli                             2.0.1              2.1.0                wheel
tomlkit                           0.11.1             0.13.2               wheel
toolz                             0.12.0             1.0.0                wheel
tqdm                              4.66.4             4.67.0               wheel
truststore                        0.8.0              0.10.0               wheel
Twisted                           23.10.0            24.10.0              wheel
typing_extensions                 4.11.0             4.12.2               wheel
tzdata                            2023.3             2024.2               wheel
uc-micro-py                       1.0.1              1.0.3                wheel
Unidecode                         1.2.0              1.3.8                wheel
urllib3                           1.26.20            2.2.3                wheel
uvicorn                           0.30.6             0.32.0               wheel
virtualenv                        20.26.4            20.27.1              wheel
w3lib                             2.1.2              2.2.1                wheel
watchdog                          4.0.1              6.0.0                wheel
wcwidth                           0.2.5              0.2.13               wheel
Werkzeug                          3.0.3              3.1.3                wheel
whatthepatch                      1.0.2              1.0.7                wheel
wheel                             0.43.0             0.45.0               wheel
widgetsnbextension                3.6.6              4.0.13               wheel
wrapt                             1.14.1             1.16.0               wheel
wurlitzer                         3.0.2              3.1.1                wheel
xarray                            2023.6.0           2024.10.0            wheel
xlwings                           0.31.4             0.33.3               wheel
xsdata                            24.3.1             24.11                wheel
xyzservices                       2022.9.0           2024.9.0             wheel
yapf                              0.40.2             0.43.0               wheel
yarl                              1.9.3              1.17.1               wheel
zarr                              2.15.0             2.18.3               wheel
zipp                              3.17.0             3.21.0               wheel
zope.interface                    5.4.0              7.1.1                wheel
zstandard                         0.22.0             0.23.0               wheel
